 0mm rants,alpha,beta,rho,max_iter,found_length,gap_%,convergence_iter
30,0.5,5.0,0.5,1000,3048.8440806383232,18.21807214572793,499
30,0.5,5.0,0.3,1000,3072.1814779502,19.122973165963558,914
20,1.5,5.0,0.5,1000,3080.0493678855755,19.42804838641239,14
30,0.5,5.0,0.1,1000,3083.8883924678553,19.57690548537632,939
10,0.5,5.0,0.1,1000,3087.9569699267777,19.734663432600918,519
10,1.5,3.0,0.5,1000,3089.3702397152824,19.789462571356434,604
30,1.5,5.0,0.5,1000,3090.663112835497,19.839593363144516,16
30,1.5,1.0,0.1,1000,3097.0441934336422,20.087017969509198,141
10,1.5,3.0,0.1,1000,3103.5521928357302,20.33936381681777,257
20,1.5,1.0,0.1,1000,3106.363722562229,20.44838009159477,327
20,0.5,5.0,0.1,1000,3108.6635780930314,20.537556343273806,624
20,0.5,5.0,0.5,1000,3111.1577856442855,20.634268539910256,835
10,0.5,5.0,0.5,1000,3113.071049794094,20.708454819468557,688
10,1.5,5.0,0.5,1000,3116.3044315633238,20.833828288612786,804
10,1.5,5.0,0.3,1000,3125.6110865886094,21.194691220961978,352
30,1.0,1.0,0.1,1000,3131.2506420333143,21.413363397957127,970
30,1.0,1.0,0.3,1000,3136.654669650423,21.622903049648038,944
20,1.5,3.0,0.5,1000,3145.5477405877255,21.967729375251082,344
30,1.5,3.0,0.5,1000,3153.22138727201,22.26527286824389,931
10,1.5,3.0,0.3,1000,3192.9562274620152,23.805980126483725,916
10,1.0,1.0,0.3,1000,3196.9642179135108,23.961388829527365,667
20,1.0,1.0,0.5,1000,3202.6845747933644,24.183194059455772,534
20,1.0,1.0,0.1,1000,3253.6493190228894,26.15933768991428,873
10,1.0,1.0,0.1,1000,3264.141763705826,26.56617928289361,733
30,1.5,1.0,0.3,1000,3282.657365929971,27.28411655408961,77
10,0.5,3.0,0.3,1000,3316.374434930084,28.591486426137426,837
20,0.5,3.0,0.5,1000,3328.1026848942956,29.046246021492657,57
10,1.5,1.0,0.1,1000,3340.0274679118224,29.508626130741465,230
10,1.0,1.0,0.5,1000,3351.0444618959277,29.935806975414025,997
10,0.5,3.0,0.5,1000,3378.7461192831142,31.009930953203344,636
30,0.5,3.0,0.5,1000,3408.9163566723973,32.179773426614865,856
20,0.5,3.0,0.3,1000,3421.0157646784537,32.648924570703905,491
20,0.5,3.0,0.1,1000,3430.5954370942563,33.02037367562064,873
20,1.5,1.0,0.3,1000,3438.046545635636,33.30928831468151,466
30,0.5,3.0,0.3,1000,3447.150483021778,33.66229092756022,61
30,0.5,3.0,0.1,1000,3450.609511523555,33.796413785325896,359
10,0.5,3.0,0.1,1000,3461.772472525167,34.22925446006851,422
20,1.5,1.0,0.5,1000,3487.6134785050313,35.23123220259912,403
30,1.5,1.0,0.5,1000,3487.8094098893503,35.2388293869465,180
10,1.5,1.0,0.3,1000,3870.812319404672,50.08965953488453,79
10,1.5,1.0,0.5,1000,4683.67362930812,81.60812831749207,145
20,0.5,1.0,0.5,1000,5428.908261916582,110.50439169897565,430
30,0.5,1.0,0.5,1000,5452.411630688042,111.41572821589926,770
20,0.5,1.0,0.3,1000,5489.276182192294,112.84514083723514,405
10,0.5,1.0,0.3,1000,5571.0060533119595,116.01419361426753,913
10,0.5,1.0,0.5,1000,5659.71014350707,119.45366977538076,378
30,0.5,1.0,0.3,1000,5771.50676366057,123.78855229393446,759
10,0.5,1.0,0.1,1000,5847.437023456584,126.73272677225995,410
20,0.5,1.0,0.1,1000,6147.856871975266,138.38142194553183,872
30,0.5,1.0,0.1,1000,6348.3104288034965,146.1539522607017,457
