ants,alpha,beta,rho,max_iter,found_length,gap_%,convergence_iter
10,1.5,5.0,0.1,1000,8093.352348459831,7.310426259080229,320
20,1.5,5.0,0.3,1000,8093.352348459832,7.310426259080241,31
30,1.5,5.0,0.5,1000,8093.352348459832,7.310426259080241,15
10,1.5,3.0,0.3,1000,8106.430502867658,7.48383058694853,30
30,1.0,1.0,0.5,1000,8124.472482009929,7.723050676344856,80
30,0.5,3.0,0.3,1000,8127.075722880049,7.757567261734943,986
30,1.0,1.0,0.3,1000,8131.265505846462,7.813119939624258,928
20,1.5,1.0,0.1,1000,8134.236423491329,7.852511581693573,117
30,1.0,1.0,0.1,1000,8161.70159304131,8.216674529850303,223
20,1.0,1.0,0.1,1000,8174.591379649086,8.387581273522752,524
30,1.5,1.0,0.5,1000,8206.044342856207,8.8046187066588,158
20,1.0,1.0,0.3,1000,8210.12806734496,8.858765146446036,404
10,1.0,1.0,0.1,1000,8227.808552840494,9.093192161767352,830
30,1.5,1.0,0.3,1000,8245.871368625967,9.332688525934328,38
20,1.5,5.0,0.5,1000,8250.164610780696,9.389612977733963,24
30,0.5,3.0,0.1,1000,8252.679997361573,9.422964695857498,383
30,1.5,3.0,0.5,1000,8268.339104995015,9.630590095399299,19
20,1.5,3.0,0.5,1000,8287.766783693483,9.888183289491957,33
10,1.5,1.0,0.1,1000,8328.760512552928,10.431722521253354,571
20,1.0,1.0,0.5,1000,8344.48674154641,10.640237888443522,487
20,1.5,1.0,0.3,1000,8467.774639555175,12.274922295878744,86
10,1.0,1.0,0.5,1000,8625.969411263377,14.3724398205168,80
20,1.5,1.0,0.5,1000,8658.643937873823,14.805674063561696,110
10,1.5,3.0,0.5,1000,8698.149095171051,15.329476202214945,32
10,1.5,1.0,0.3,1000,9061.250504542322,20.14386773458396,79
10,1.5,1.0,0.5,1000,9754.498764147304,29.335703581905374,42
10,0.5,1.0,0.5,1000,10034.36473994964,33.046469636033414,101
30,0.5,1.0,0.5,1000,10298.232218214904,36.54511029189742,958
20,0.5,1.0,0.5,1000,10321.055440124986,36.8477252734684,539
10,0.5,1.0,0.3,1000,10555.411246123545,39.95506823287649,259
30,0.5,1.0,0.3,1000,10563.503557801529,40.0623648607999,432
20,0.5,1.0,0.3,1000,10603.554622315609,40.59340522826318,96
20,0.5,1.0,0.1,1000,11062.02745450449,46.67233432119451,302
10,0.5,1.0,0.1,1000,11342.905791575553,50.396523356875534,809
30,0.5,1.0,0.1,1000,11770.453968098604,56.0654198899311,137
